"data","tipo","autor","palavras","arquivo","origem","nota","md5"
"2024-01-29","apresentação","",10703,"2024-01-29_quem-faz-ic-na-fflch-apresentacao-cpqi.docx","Quem faz IC na FFLCH_ - Apresentação CPqI.docx","Apresentação no CPqI — versão mais antiga do material","9b2c287dac0e45f6b2e5db861182d9be"
"2024-04-10","versão do artigo","",11634,"2024-04-10_2024-04-09-oset-tales-mancan-o-quem-faz-ic-na-fflch-fim.docx","2024.04.09_OSET_Tales_Mancan o_Quem_faz_IC_na_FFLCH_fim.docx","Versão OSET","fbc739bfb547fc530605ae85392c83c3"
"2024-07-25","versão do artigo","",11599,"2024-07-25_velho-2024-04-09-oset-tales-mancano-quem-faz-ic-na-fflch.docx","VELHO 2024.04.09_OSET_Tales_Mançano_Quem_faz_IC_na_FFLCH_.docx","Marcada como VELHO pelo autor; data é a do arquivo","d4dc97e060a2022a7d387bb90a0f2e92"
"2024-08-01","material de campo","",392,"2024-08-01_termo-de-consentimento-livre-e-esclarecido-entrevistas-anpoc.docx","Termo de consentimento livre e esclarecido_entrevistas_anpocs.docx","","eaeebf6fd5ed3b8b8fd3a8dd9859113a"
"2024-08-06","material de campo","",861,"2024-08-06_roteiro-de-entrevista-quem-faz-ic-na-fflch.docx","Roteiro de Entrevista _Quem faz IC na FFLCH_.docx","","6b04dfa140a9741303679b11e6e41f63"
"2024-11-25","versão do artigo","",11744,"2024-11-25_2024-04-09-oset-tales-mancan-o-quem-faz-ic-na-fflch-fim-1.docx","2024.04.09_OSET_Tales_Mancan o_Quem_faz_IC_na_FFLCH_fim(1).docx","Última versão OSET","7541e8ceb3b202c6c1259aeff102d0fb"
"2024-12-02","material de campo","",445,"2024-12-02_termo-de-consentimento-livre-e-esclarecido-metodos.docx","Termo de consentimento livre e esclarecido_Métodos.docx","","a1e54571013fa76afb7be743f20bf9ad"
"2025-05-28","outro artigo","",596,"2025-05-28_documento-sem-titulo.docx","Documento sem título.docx","Revisão sistemática sobre evasão (Mançano; Monteiro; Carmo) — não é versão deste texto","129d29d85b0bcc8f25ec5f866198e1e5"
"2025-05-30","folha de rosto","",658,"2025-05-30_v-puc-rs-folha-de-rosto-victor-tales.docx","v.PUC-RS Folha de Rosto Victor-Tales.docx","","cddf0ca325b2beb5930e0c969fd7d938"
"2025-08-06","plano de revisão","",696,"2025-08-06_plano-de-revisao-quem-faz-iniciacao-cientifica.docx","Plano de Revisão - Quem faz iniciação ciêntífica.docx","","04e067d26430908293b0f0d467a1e1e3"
"2025-08-13","versão do artigo","",6323,"2025-08-13_v-pucrs-quem-faz-iniciacao-cientifica.docx","v.PUCRS Quem faz Iniciação Científica_.docx","Escrita de Tales antes da passagem de Victor","4b75283b74a0cd9fdae954820f10e986"
"2025-08-15","gráficos e tabelas","",1276,"2025-08-15_v-puc-rs-graficos-e-tabelas-victor-tales.docx","v.PUC-RS -Gráficos e Tabelas- Victor-Tales.docx","","41dcb8f53668df90b809aa33d0f62d60"
"2025-08-15","versão do artigo","Victor Gabriel Alcantara da Silva",6384,"2025-08-15_vr1-pucrs-quem-faz-iniciacao-cientifica.docx","vr1.PUCRS_Quem_faz_Iniciação_Científica.docx","","71461329f4b3649c9ddbf63f10905242"
"2025-08-21","versão do artigo","",5758,"2025-08-21_vr1-pucrs-quem-faz-iniciacao-cientifica-versaovictor.docx","vr1.PUCRS_Quem_faz_Iniciação_Científica_versaoVictor.docx","Revisão de Victor","e6dcf6302ccc3627206164e6d3066ad0"
"2025-09-10","versão do artigo","",7028,"2025-09-10_puc-rs-v-editoracao-ic-na-fflch.docx","PUC-RS V.Editoração IC na FFLCH.docx","Pós-revisão editorial da revista","8a5fd9c91a2c58718642fdb8e926ff07"
